"","Indicator.Code","Year","count","Indicator.Name"
"264","AG.LND.TOTL.K2",2018,216,"Land area (sq. km)"
"265","AG.LND.TOTL.K2",2019,216,"Land area (sq. km)"
"266","AG.LND.TOTL.K2",2020,216,"Land area (sq. km)"
"267","AG.LND.TOTL.RU.K2",1990,179,"Rural land area (sq. km)"
"268","AG.LND.TOTL.RU.K2",2000,179,"Rural land area (sq. km)"
"269","AG.LND.TOTL.RU.K2",2010,179,"Rural land area (sq. km)"
"270","AG.LND.TOTL.UR.K2",1990,179,"Urban land area (sq. km)"
"271","AG.LND.TOTL.UR.K2",2000,179,"Urban land area (sq. km)"
"272","AG.LND.TOTL.UR.K2",2010,179,"Urban land area (sq. km)"
"273","AG.SRF.TOTL.K2",1961,210,"Surface area (sq. km)"
"274","AG.SRF.TOTL.K2",1962,210,"Surface area (sq. km)"
"275","AG.SRF.TOTL.K2",1963,210,"Surface area (sq. km)"
"276","AG.SRF.TOTL.K2",1964,210,"Surface area (sq. km)"
"277","AG.SRF.TOTL.K2",1965,210,"Surface area (sq. km)"
"278","AG.SRF.TOTL.K2",1966,210,"Surface area (sq. km)"
"279","AG.SRF.TOTL.K2",1967,210,"Surface area (sq. km)"
"280","AG.SRF.TOTL.K2",1968,210,"Surface area (sq. km)"
"281","AG.SRF.TOTL.K2",1969,210,"Surface area (sq. km)"
"282","AG.SRF.TOTL.K2",1970,210,"Surface area (sq. km)"
"283","AG.SRF.TOTL.K2",1971,210,"Surface area (sq. km)"
"284","AG.SRF.TOTL.K2",1972,210,"Surface area (sq. km)"
"285","AG.SRF.TOTL.K2",1973,210,"Surface area (sq. km)"
"286","AG.SRF.TOTL.K2",1974,210,"Surface area (sq. km)"
"287","AG.SRF.TOTL.K2",1975,210,"Surface area (sq. km)"
"288","AG.SRF.TOTL.K2",1976,210,"Surface area (sq. km)"
"289","AG.SRF.TOTL.K2",1977,210,"Surface area (sq. km)"
"290","AG.SRF.TOTL.K2",1978,210,"Surface area (sq. km)"
"291","AG.SRF.TOTL.K2",1979,210,"Surface area (sq. km)"
"292","AG.SRF.TOTL.K2",1980,210,"Surface area (sq. km)"
"293","AG.SRF.TOTL.K2",1981,210,"Surface area (sq. km)"
"294","AG.SRF.TOTL.K2",1982,210,"Surface area (sq. km)"
"295","AG.SRF.TOTL.K2",1983,210,"Surface area (sq. km)"
"296","AG.SRF.TOTL.K2",1984,210,"Surface area (sq. km)"
"297","AG.SRF.TOTL.K2",1985,210,"Surface area (sq. km)"
"298","AG.SRF.TOTL.K2",1986,210,"Surface area (sq. km)"
"299","AG.SRF.TOTL.K2",1987,210,"Surface area (sq. km)"
"300","AG.SRF.TOTL.K2",1988,210,"Surface area (sq. km)"
"301","AG.SRF.TOTL.K2",1989,210,"Surface area (sq. km)"
"302","AG.SRF.TOTL.K2",1990,210,"Surface area (sq. km)"
"303","AG.SRF.TOTL.K2",1991,214,"Surface area (sq. km)"
"304","AG.SRF.TOTL.K2",1992,214,"Surface area (sq. km)"
"305","AG.SRF.TOTL.K2",1993,214,"Surface area (sq. km)"
"306","AG.SRF.TOTL.K2",1994,214,"Surface area (sq. km)"
"307","AG.SRF.TOTL.K2",1995,214,"Surface area (sq. km)"
"308","AG.SRF.TOTL.K2",1996,214,"Surface area (sq. km)"
"309","AG.SRF.TOTL.K2",1997,214,"Surface area (sq. km)"
"310","AG.SRF.TOTL.K2",1998,214,"Surface area (sq. km)"
"311","AG.SRF.TOTL.K2",1999,214,"Surface area (sq. km)"
"312","AG.SRF.TOTL.K2",2000,215,"Surface area (sq. km)"
"313","AG.SRF.TOTL.K2",2001,215,"Surface area (sq. km)"
"314","AG.SRF.TOTL.K2",2002,215,"Surface area (sq. km)"
"315","AG.SRF.TOTL.K2",2003,215,"Surface area (sq. km)"
"316","AG.SRF.TOTL.K2",2004,215,"Surface area (sq. km)"
"317","AG.SRF.TOTL.K2",2005,215,"Surface area (sq. km)"
"318","AG.SRF.TOTL.K2",2006,215,"Surface area (sq. km)"
"319","AG.SRF.TOTL.K2",2007,215,"Surface area (sq. km)"
"320","AG.SRF.TOTL.K2",2008,215,"Surface area (sq. km)"
"321","AG.SRF.TOTL.K2",2009,215,"Surface area (sq. km)"
"322","AG.SRF.TOTL.K2",2010,215,"Surface area (sq. km)"
"323","AG.SRF.TOTL.K2",2011,217,"Surface area (sq. km)"
"324","AG.SRF.TOTL.K2",2012,217,"Surface area (sq. km)"
"325","AG.SRF.TOTL.K2",2013,217,"Surface area (sq. km)"
"326","AG.SRF.TOTL.K2",2014,217,"Surface area (sq. km)"
"327","AG.SRF.TOTL.K2",2015,217,"Surface area (sq. km)"
"328","AG.SRF.TOTL.K2",2016,217,"Surface area (sq. km)"
"329","AG.SRF.TOTL.K2",2017,217,"Surface area (sq. km)"
"330","AG.SRF.TOTL.K2",2018,216,"Surface area (sq. km)"
"331","EG.CFT.ACCS.ZS",2000,190,"Access to clean fuels and technologies for cooking (% of population)"
"332","EG.CFT.ACCS.ZS",2001,190,"Access to clean fuels and technologies for cooking (% of population)"
"333","EG.CFT.ACCS.ZS",2002,190,"Access to clean fuels and technologies for cooking (% of population)"
"334","EG.CFT.ACCS.ZS",2003,190,"Access to clean fuels and technologies for cooking (% of population)"
"335","EG.CFT.ACCS.ZS",2004,190,"Access to clean fuels and technologies for cooking (% of population)"
"336","EG.CFT.ACCS.ZS",2005,190,"Access to clean fuels and technologies for cooking (% of population)"
"337","EG.CFT.ACCS.ZS",2006,190,"Access to clean fuels and technologies for cooking (% of population)"
"338","EG.CFT.ACCS.ZS",2007,190,"Access to clean fuels and technologies for cooking (% of population)"
"339","EG.CFT.ACCS.ZS",2008,190,"Access to clean fuels and technologies for cooking (% of population)"
"340","EG.CFT.ACCS.ZS",2009,190,"Access to clean fuels and technologies for cooking (% of population)"
"341","EG.CFT.ACCS.ZS",2010,190,"Access to clean fuels and technologies for cooking (% of population)"
"342","EG.CFT.ACCS.ZS",2011,190,"Access to clean fuels and technologies for cooking (% of population)"
"343","EG.CFT.ACCS.ZS",2012,190,"Access to clean fuels and technologies for cooking (% of population)"
"344","EG.CFT.ACCS.ZS",2013,190,"Access to clean fuels and technologies for cooking (% of population)"
"345","EG.CFT.ACCS.ZS",2014,190,"Access to clean fuels and technologies for cooking (% of population)"
"346","EG.CFT.ACCS.ZS",2015,190,"Access to clean fuels and technologies for cooking (% of population)"
"347","EG.CFT.ACCS.ZS",2016,190,"Access to clean fuels and technologies for cooking (% of population)"
"348","EG.CFT.ACCS.ZS",2017,188,"Access to clean fuels and technologies for cooking (% of population)"
"349","EG.CFT.ACCS.ZS",2018,188,"Access to clean fuels and technologies for cooking (% of population)"
"350","EG.CFT.ACCS.ZS",2019,188,"Access to clean fuels and technologies for cooking (% of population)"
"351","EG.EGY.PRIM.PP.KD",1990,184,"Energy intensity level of primary energy (MJ/$2011 PPP GDP)"
"352","EG.EGY.PRIM.PP.KD",1991,185,"Energy intensity level of primary energy (MJ/$2011 PPP GDP)"
"353","EG.EGY.PRIM.PP.KD",1992,189,"Energy intensity level of primary energy (MJ/$2011 PPP GDP)"
"354","EG.EGY.PRIM.PP.KD",1993,189,"Energy intensity level of primary energy (MJ/$2011 PPP GDP)"
"355","EG.EGY.PRIM.PP.KD",1994,189,"Energy intensity level of primary energy (MJ/$2011 PPP GDP)"
"356","EG.EGY.PRIM.PP.KD",1995,189,"Energy intensity level of primary energy (MJ/$2011 PPP GDP)"
"357","EG.EGY.PRIM.PP.KD",1996,189,"Energy intensity level of primary energy (MJ/$2011 PPP GDP)"
"358","EG.EGY.PRIM.PP.KD",1997,189,"Energy intensity level of primary energy (MJ/$2011 PPP GDP)"
"359","EG.EGY.PRIM.PP.KD",1998,189,"Energy intensity level of primary energy (MJ/$2011 PPP GDP)"
"360","EG.EGY.PRIM.PP.KD",1999,189,"Energy intensity level of primary energy (MJ/$2011 PPP GDP)"
"361","EG.EGY.PRIM.PP.KD",2000,190,"Energy intensity level of primary energy (MJ/$2011 PPP GDP)"
"362","EG.EGY.PRIM.PP.KD",2001,190,"Energy intensity level of primary energy (MJ/$2011 PPP GDP)"
"363","EG.EGY.PRIM.PP.KD",2002,191,"Energy intensity level of primary energy (MJ/$2011 PPP GDP)"
"364","EG.EGY.PRIM.PP.KD",2003,191,"Energy intensity level of primary energy (MJ/$2011 PPP GDP)"
